theta,theta_local,t,cyl_T,cyl_p,cyl_a,pipe_T,pipe_p,pipe_rho,pipe_u,pipe_a,pipe_AA,T_isentropic,a_isentropic,mdot_exhaust,T_error_K,T_error_frac,a_ratio_isentropic_to_pipe
1646.843382950828,206.84338295082807,0.0,1683.7299357928505,393597.20674522984,807.6887789383607,392.72251723407976,260800.68387252942,2.313881033929125,72.92644789866624,397.2353300307681,0.999600023884522,1513.322825622034,765.7264059618534,0.13402018194764814,1120.6003083879543,0.7404899268121092,1.9276392306357633
1647.5677275390062,207.56772753900623,0.0,1679.8389118601028,388691.8320025864,806.754972962793,395.87341866745913,268198.0473506412,2.360572662363694,70.46434099369205,398.8257008024747,0.999600023884522,1525.7664414170883,768.8681341602414,0.13210853762316815,1129.8930227496292,0.740541272948838,1.9278299583331933
1648.2957646268321,208.29576462683212,0.0,1675.9586414977905,383861.2217812521,805.8226701007604,398.8945593116177,275430.36077168764,2.405868031517378,67.79871013918061,400.3446439399533,0.999600023884522,1537.7574942175268,771.8835023075574,0.12954998026234374,1138.862934905909,0.7405998274685103,1.928047531025119
1649.0276274427167,209.02762744271672,0.0,1672.1101013384668,379134.17631952517,804.8969243099324,401.74685558956776,282385.3214554763,2.449106861675837,64.95461604806938,401.7734269160771,0.999600023884522,1549.1463087074114,774.7365599406592,0.12634610968104154,1147.3994531178437,0.7406656470525497,1.928292186686819
1649.763118044642,209.76311804464194,0.0,1668.3141089678866,374538.93273347645,803.9827743923422,404.3962275287687,288957.0204812205,2.4896841715036104,61.96121379748599,403.0960235738617,0.999600023884522,1559.79926210168,777.3957962976748,0.12252036866003442,1155.403034572911,0.740738287705122,1.9285623048455298
1650.5018088826248,210.5018088826248,0.0,1664.5964564523588,370105.29531305516,803.0864816770772,406.81618489655267,295054.46798500576,2.52709795368941,58.85132971593668,404.30031299942726,0.999600023884522,1569.610390257297,779.8368712142237,0.11811973840462373,1162.7942053607444,0.7408170923041191,1.9288554723808202
1651.2435168368352,211.24351683683517,0.0,1660.9832527672538,365862.65312664746,802.2144110427539,408.9906652088118,300611.29975183867,2.5610025378078984,55.65892858021272,405.3793893143811,0.999600023884522,1578.5092309981274,782.0443731337913,0.11321108997417921,1169.5185657893155,0.740900681999688,1.9291665875180886
1651.988522057226,211.98852205722596,0.0,1657.4954266291625,361836.1877731286,801.3717009275216,410.91412255932534,305588.60277928796,2.591219411411658,52.41651845587681,406.33150806248943,0.999600023884522,1586.4603795739172,784.0115267430156,0.10787392502173325,1175.546257014592,0.7409868359462678,1.9294874042168617
1652.7196017929894,212.71960179298935,0.0,1654.1485789194464,358045.44754317217,800.5622192574039,412.5396505238863,309840.6201865726,2.616921891243559,49.20721385793694,407.1344146353849,0.999600023884522,1593.2835996695487,785.6956985321777,0.10227362683157644,1180.7439491456626,0.7410758193899392,1.9298189253684654
1653.4551966045092,213.45519660450918,0.0,1651.1407069356535,354585.70762904047,799.8340245964903,413.94821026512255,313559.12826228584,2.639316922987994,46.03206697162195,407.82887451053074,0.999600023884522,1599.3340338644148,787.1861097737736,0.09649307357896905,1185.3858235992923,0.7411746380054741,1.930187289260823
